appointment_id,customer_id,employee,service,category,appointment_date,revenue,month
1,C0283,Aisha,Nails,Nails,2025-01-25,166.85,2025-01
2,C0006,Sara,Waxing,Beauty,2025-01-03,121.69,2025-01
3,C0259,Nour,Waxing,Beauty,2025-01-06,143.99,2025-01
4,C0083,Aisha,Facial,Skin Care,2025-01-10,309.16,2025-01
5,C0051,Nour,Hair Color,Hair,2025-01-01,387.14,2025-01
6,C0288,Maya,Facial,Skin Care,2025-01-17,260.41,2025-01
7,C0250,Maya,Nails,Nails,2025-01-26,133.46,2025-01
8,C0268,Aisha,Nails,Nails,2025-01-18,171.15,2025-01
9,C0112,Nour,Facial,Skin Care,2025-01-27,292.97,2025-01
10,C0103,Rania,Facial,Skin Care,2025-01-19,307.0,2025-01
11,C0098,Maya,Facial,Skin Care,2025-01-18,334.09,2025-01
12,C0249,Rania,Nails,Nails,2025-01-02,150.47,2025-01
13,C0106,Lina,Nails,Nails,2025-01-23,175.3,2025-01
14,C0184,Aisha,Lashes,Beauty,2025-01-10,282.19,2025-01
15,C0069,Maya,Nails,Nails,2025-01-24,141.06,2025-01
16,C0043,Lina,Facial,Skin Care,2025-01-11,272.05,2025-01
17,C0095,Lina,Hair Styling,Hair,2025-01-23,161.12,2025-01
18,C0184,Aisha,Hair Styling,Hair,2025-01-08,193.38,2025-01
19,C0061,Maya,Waxing,Beauty,2025-01-18,121.91,2025-01
20,C0092,Maya,Hair Color,Hair,2025-01-18,477.8,2025-01
21,C0133,Aisha,Hair Styling,Hair,2025-01-01,158.59,2025-01
22,C0078,Maya,Nails,Nails,2025-01-17,174.45,2025-01
23,C0047,Aisha,Lashes,Beauty,2025-01-25,215.94,2025-01
24,C0048,Nour,Lashes,Beauty,2025-01-11,257.27,2025-01
25,C0113,Lina,Hair Styling,Hair,2025-01-08,207.7,2025-01
26,C0214,Rania,Hair Color,Hair,2025-01-24,387.77,2025-01
27,C0154,Rania,Facial,Skin Care,2025-01-24,274.15,2025-01
28,C0111,Rania,Hair Styling,Hair,2025-01-03,161.39,2025-01
29,C0294,Lina,Lashes,Beauty,2025-01-18,215.17,2025-01
30,C0028,Maya,Nails,Nails,2025-01-23,133.01,2025-01
31,C0126,Sara,Facial,Skin Care,2025-01-22,320.39,2025-01
32,C0068,Maya,Hair Color,Hair,2025-01-25,407.41,2025-01
33,C0228,Rania,Lashes,Beauty,2025-01-15,256.11,2025-01
34,C0236,Lina,Facial,Skin Care,2025-01-17,311.05,2025-01
35,C0282,Maya,Nails,Nails,2025-01-20,145.22,2025-01
36,C0229,Aisha,Hair Color,Hair,2025-01-06,430.24,2025-01
37,C0070,Sara,Hair Color,Hair,2025-01-06,371.96,2025-01
38,C0137,Lina,Waxing,Beauty,2025-01-24,105.69,2025-01
39,C0223,Rania,Nails,Nails,2025-01-04,149.05,2025-01
40,C0134,Rania,Nails,Nails,2025-01-04,178.4,2025-01
41,C0062,Aisha,Hair Color,Hair,2025-01-19,382.12,2025-01
42,C0173,Sara,Lashes,Beauty,2025-01-26,259.32,2025-01
43,C0275,Sara,Hair Color,Hair,2025-01-04,499.3,2025-01
44,C0001,Maya,Nails,Nails,2025-01-15,140.23,2025-01
45,C0259,Aisha,Lashes,Beauty,2025-01-11,220.14,2025-01
46,C0138,Sara,Nails,Nails,2025-01-05,151.35,2025-01
47,C0101,Aisha,Hair Color,Hair,2025-01-20,457.63,2025-01
48,C0038,Lina,Lashes,Beauty,2025-01-24,264.62,2025-01
49,C0236,Maya,Hair Color,Hair,2025-01-28,493.64,2025-01
