customer_id,gender,join_date
C0001,Female,2024-12-15
C0002,Male,2024-02-16
C0003,Female,2025-10-17
C0004,Female,2024-09-25
C0005,Female,2025-01-04
C0006,Female,2025-09-27
C0007,Female,2024-04-15
C0008,Female,2025-10-31
C0009,Female,2025-10-20
C0010,Female,2025-10-18
C0011,Female,2024-04-29
C0012,Male,2025-08-26
C0013,Female,2024-02-27
C0014,Female,2024-12-11
C0015,Female,2025-04-18
C0016,Female,2024-04-26
C0017,Female,2024-05-06
C0018,Female,2025-01-27
C0019,Female,2025-10-02
C0020,Female,2024-02-27
C0021,Female,2025-09-25
C0022,Female,2025-05-27
C0023,Female,2024-04-05
C0024,Female,2025-09-29
C0025,Female,2024-04-27
C0026,Female,2025-07-13
C0027,Female,2025-08-23
C0028,Female,2025-05-02
C0029,Female,2024-08-24
C0030,Female,2024-09-28
C0031,Female,2024-07-07
C0032,Female,2025-12-04
C0033,Female,2025-03-22
C0034,Male,2025-08-03
C0035,Male,2024-09-03
C0036,Female,2024-03-16
C0037,Female,2024-06-02
C0038,Female,2025-10-17
C0039,Female,2025-03-10
C0040,Female,2024-03-26
C0041,Female,2025-11-27
C0042,Female,2024-10-11
C0043,Female,2024-08-07
C0044,Male,2024-03-09
C0045,Female,2024-02-16
C0046,Female,2024-04-03
C0047,Female,2025-03-28
C0048,Female,2024-07-22
C0049,Female,2024-08-05
C0050,Female,2025-04-18
C0051,Male,2025-03-07
C0052,Female,2024-12-06
C0053,Male,2025-07-04
C0054,Male,2025-09-03
C0055,Female,2024-10-15
C0056,Male,2024-09-10
C0057,Female,2024-12-22
C0058,Female,2024-01-23
C0059,Female,2025-06-05
C0060,Female,2024-04-09
C0061,Female,2024-06-28
C0062,Female,2024-08-10
C0063,Female,2025-10-20
C0064,Female,2025-03-17
C0065,Female,2025-08-30
C0066,Female,2024-11-20
C0067,Female,2025-05-30
C0068,Female,2024-01-16
C0069,Female,2024-12-01
C0070,Male,2024-09-14
C0071,Female,2025-05-11
C0072,Female,2024-06-08
C0073,Female,2025-04-19
C0074,Female,2025-10-25
C0075,Female,2025-11-20
C0076,Female,2025-11-05
C0077,Female,2025-01-14
C0078,Female,2025-06-28
C0079,Female,2025-11-21
C0080,Female,2025-03-02
C0081,Female,2025-09-04
C0082,Female,2024-09-24
C0083,Female,2025-07-30
C0084,Female,2025-02-20
C0085,Female,2024-06-16
C0086,Female,2024-02-12
C0087,Female,2025-07-09
C0088,Female,2024-10-11
C0089,Male,2025-01-31
C0090,Female,2024-01-12
C0091,Female,2025-08-29
C0092,Female,2024-10-28
C0093,Female,2024-09-09
C0094,Female,2025-05-13
C0095,Female,2024-02-04
C0096,Female,2024-03-30
C0097,Female,2025-08-27
C0098,Female,2025-08-24
C0099,Female,2025-02-21
C0100,Female,2024-04-24
C0101,Female,2025-09-08
C0102,Female,2024-07-14
C0103,Female,2025-05-15
C0104,Female,2025-09-17
C0105,Male,2025-05-07
C0106,Female,2024-03-15
C0107,Female,2025-02-16
C0108,Female,2025-01-10
C0109,Female,2025-02-23
C0110,Female,2024-10-03
C0111,Female,2025-11-06
C0112,Female,2025-01-28
C0113,Male,2025-04-01
C0114,Female,2024-07-10
C0115,Female,2025-11-19
C0116,Female,2024-04-08
C0117,Female,2025-07-01
C0118,Female,2024-04-05
C0119,Male,2025-10-25
C0120,Female,2025-10-24
C0121,Female,2024-07-08
C0122,Male,2024-02-06
C0123,Female,2025-01-03
C0124,Female,2025-11-25
C0125,Female,2025-06-08
C0126,Female,2024-10-05
C0127,Female,2024-08-04
C0128,Female,2024-09-29
C0129,Female,2024-03-02
C0130,Female,2025-08-18
C0131,Female,2024-12-07
C0132,Female,2025-01-31
C0133,Female,2025-11-29
C0134,Female,2024-01-19
C0135,Male,2024-06-25
C0136,Female,2025-09-03
C0137,Female,2025-01-30
C0138,Female,2025-03-20
C0139,Female,2024-08-20
C0140,Male,2024-03-16
C0141,Male,2024-09-21
C0142,Female,2025-03-30
C0143,Female,2025-01-18
C0144,Female,2025-07-17
C0145,Female,2025-05-20
C0146,Female,2025-01-01
C0147,Female,2024-05-23
C0148,Female,2024-03-09
C0149,Female,2024-04-08
C0150,Female,2025-01-30
C0151,Male,2024-01-25
C0152,Female,2025-04-13
C0153,Female,2025-04-28
C0154,Female,2025-07-18
C0155,Male,2024-05-30
C0156,Female,2024-05-23
C0157,Female,2025-07-22
C0158,Female,2024-02-08
C0159,Female,2024-04-18
C0160,Female,2025-11-23
C0161,Female,2024-02-11
C0162,Female,2024-07-04
C0163,Female,2025-02-01
C0164,Female,2024-08-10
C0165,Female,2025-09-25
C0166,Female,2024-05-12
C0167,Female,2024-06-11
C0168,Female,2024-08-02
C0169,Female,2024-08-22
C0170,Female,2025-10-19
C0171,Female,2025-08-10
C0172,Female,2024-01-09
C0173,Female,2024-03-14
C0174,Female,2025-05-06
C0175,Female,2024-09-09
C0176,Female,2024-08-17
C0177,Female,2025-06-02
C0178,Female,2024-06-22
C0179,Male,2025-10-14
C0180,Female,2024-06-16
C0181,Female,2024-06-18
C0182,Female,2025-01-27
C0183,Male,2025-09-25
C0184,Female,2024-07-12
C0185,Female,2025-05-31
C0186,Female,2024-01-29
C0187,Female,2024-06-13
C0188,Female,2025-02-25
C0189,Female,2024-12-04
C0190,Female,2025-10-09
C0191,Female,2025-05-10
C0192,Male,2024-12-30
C0193,Male,2024-12-07
C0194,Female,2025-05-14
C0195,Female,2025-10-18
C0196,Female,2025-05-25
C0197,Female,2024-11-22
C0198,Male,2024-08-04
C0199,Male,2024-10-27
C0200,Female,2024-05-11
C0201,Female,2024-03-10
C0202,Female,2024-09-08
C0203,Female,2025-02-18
C0204,Male,2025-03-20
C0205,Female,2024-06-30
C0206,Female,2024-06-15
C0207,Female,2024-03-31
C0208,Female,2025-12-14
C0209,Female,2025-06-14
C0210,Female,2024-02-08
C0211,Female,2024-05-05
C0212,Female,2025-03-26
C0213,Female,2024-06-21
C0214,Female,2025-10-14
C0215,Female,2024-08-07
C0216,Female,2025-09-29
C0217,Female,2024-02-27
C0218,Female,2025-10-21
C0219,Female,2025-04-20
C0220,Female,2025-03-31
C0221,Female,2024-12-26
C0222,Female,2024-01-01
C0223,Female,2025-01-21
C0224,Female,2024-12-13
C0225,Female,2024-07-08
C0226,Female,2025-05-19
C0227,Male,2024-07-09
C0228,Female,2025-05-22
C0229,Male,2025-01-03
C0230,Female,2025-02-12
C0231,Female,2024-04-26
C0232,Female,2024-05-13
C0233,Female,2024-02-27
C0234,Female,2025-07-09
C0235,Female,2025-11-15
C0236,Female,2025-11-02
C0237,Female,2024-06-21
C0238,Female,2024-05-28
C0239,Female,2024-03-20
C0240,Female,2024-07-31
C0241,Male,2024-07-21
C0242,Male,2024-08-16
C0243,Male,2025-11-06
C0244,Female,2024-08-14
C0245,Female,2025-10-20
C0246,Male,2025-06-15
C0247,Female,2025-03-16
C0248,Male,2025-02-05
C0249,Male,2024-02-16
C0250,Female,2024-08-20
C0251,Female,2024-10-31
C0252,Female,2025-06-09
C0253,Female,2024-05-22
C0254,Female,2025-02-18
C0255,Female,2025-05-27
C0256,Female,2025-01-07
C0257,Male,2025-07-19
C0258,Female,2024-09-15
C0259,Female,2025-10-17
C0260,Female,2025-04-15
C0261,Female,2024-01-12
C0262,Male,2024-11-25
C0263,Female,2024-12-23
C0264,Female,2025-02-11
C0265,Female,2025-10-29
C0266,Female,2025-01-07
C0267,Female,2024-01-08
C0268,Female,2024-05-01
C0269,Female,2024-12-13
C0270,Female,2025-11-06
C0271,Female,2024-03-30
C0272,Female,2025-10-09
C0273,Female,2025-11-28
C0274,Male,2024-11-11
C0275,Female,2024-06-26
C0276,Female,2025-06-23
C0277,Female,2024-02-10
C0278,Female,2025-12-04
C0279,Female,2025-05-16
C0280,Female,2024-05-24
C0281,Male,2024-07-19
C0282,Female,2025-04-05
C0283,Female,2025-07-11
C0284,Female,2025-06-30
C0285,Female,2024-09-09
C0286,Female,2025-01-24
C0287,Female,2025-08-16
C0288,Female,2024-09-12
C0289,Female,2025-12-09
C0290,Female,2025-03-25
C0291,Female,2024-01-10
C0292,Female,2024-08-29
C0293,Female,2024-09-07
C0294,Female,2024-01-05
C0295,Female,2024-04-28
C0296,Female,2025-01-08
C0297,Female,2024-03-05
C0298,Female,2024-05-25
C0299,Female,2024-08-11
C0300,Female,2024-08-26
