expense_id,category,expense_date,amount,month
1,Rent,2025-01-23,12000,2025-01
2,Salaries,2025-01-09,37027,2025-01
3,Products,2025-01-07,9239,2025-01
4,Marketing,2025-01-07,5980,2025-01
5,Utilities,2025-01-05,2307,2025-01
6,Maintenance,2025-01-08,1625,2025-01
7,Software,2025-01-25,900,2025-01
8,Rent,2025-02-07,12000,2025-02
9,Salaries,2025-02-11,35938,2025-02
10,Products,2025-02-26,9814,2025-02
11,Marketing,2025-02-15,5862,2025-02
12,Utilities,2025-02-05,2287,2025-02
13,Maintenance,2025-02-07,2625,2025-02
14,Software,2025-02-17,900,2025-02
15,Rent,2025-03-04,12000,2025-03
16,Salaries,2025-03-12,37163,2025-03
17,Products,2025-03-16,6005,2025-03
18,Marketing,2025-03-04,3180,2025-03
19,Utilities,2025-03-15,2694,2025-03
20,Maintenance,2025-03-03,2143,2025-03
21,Software,2025-03-05,900,2025-03
22,Rent,2025-04-11,12000,2025-04
23,Salaries,2025-04-17,35689,2025-04
24,Products,2025-04-23,7138,2025-04
25,Marketing,2025-04-10,2895,2025-04
26,Utilities,2025-04-12,2569,2025-04
27,Maintenance,2025-04-22,2326,2025-04
28,Software,2025-04-16,900,2025-04
29,Rent,2025-05-08,12000,2025-05
30,Salaries,2025-05-10,36415,2025-05
31,Products,2025-05-22,8685,2025-05
32,Marketing,2025-05-19,5400,2025-05
33,Utilities,2025-05-22,3036,2025-05
34,Maintenance,2025-05-09,504,2025-05
35,Software,2025-05-13,900,2025-05
36,Rent,2025-06-09,12000,2025-06
37,Salaries,2025-06-25,37297,2025-06
38,Products,2025-06-25,8633,2025-06
39,Marketing,2025-06-25,6390,2025-06
40,Utilities,2025-06-02,1968,2025-06
41,Maintenance,2025-06-07,1291,2025-06
42,Software,2025-06-13,900,2025-06
43,Rent,2025-07-19,12000,2025-07
44,Salaries,2025-07-24,38599,2025-07
45,Products,2025-07-23,10082,2025-07
46,Marketing,2025-07-12,5812,2025-07
47,Utilities,2025-07-19,2729,2025-07
48,Maintenance,2025-07-09,1342,2025-07
49,Software,2025-07-16,900,2025-07
50,Rent,2025-08-21,12000,2025-08
51,Salaries,2025-08-05,38270,2025-08
52,Products,2025-08-25,9603,2025-08
53,Marketing,2025-08-05,3984,2025-08
54,Utilities,2025-08-05,2420,2025-08
55,Maintenance,2025-08-14,1716,2025-08
56,Software,2025-08-03,900,2025-08
57,Rent,2025-09-11,12000,2025-09
58,Salaries,2025-09-22,34931,2025-09
59,Products,2025-09-10,8138,2025-09
60,Marketing,2025-09-07,4937,2025-09
61,Utilities,2025-09-21,3182,2025-09
62,Maintenance,2025-09-12,1751,2025-09
63,Software,2025-09-08,900,2025-09
64,Rent,2025-10-15,12000,2025-10
65,Salaries,2025-10-12,36564,2025-10
66,Products,2025-10-03,7763,2025-10
67,Marketing,2025-10-23,4670,2025-10
68,Utilities,2025-10-15,2135,2025-10
69,Maintenance,2025-10-25,1676,2025-10
70,Software,2025-10-25,900,2025-10
71,Rent,2025-11-07,12000,2025-11
72,Salaries,2025-11-03,36470,2025-11
73,Products,2025-11-25,6938,2025-11
74,Marketing,2025-11-09,3303,2025-11
75,Utilities,2025-11-08,2433,2025-11
76,Maintenance,2025-11-26,1753,2025-11
77,Software,2025-11-25,900,2025-11
78,Rent,2025-12-24,12000,2025-12
79,Salaries,2025-12-20,38008,2025-12
80,Products,2025-12-14,9022,2025-12
81,Marketing,2025-12-08,5084,2025-12
82,Utilities,2025-12-26,2969,2025-12
83,Maintenance,2025-12-11,2047,2025-12
84,Software,2025-12-11,900,2025-12
